Date,HUA_clinecenter,SBUX_clinecenter,TIK_clinecenter,HUA_brandwatch,SBUX_brandwatch,TIK_brandwatch
2018-09-23,3.333,2.303,-3.182,1.468,1.012,3.044
2018-09-24,4.459,3.710,-2.647,2.088,1.323,4.129
2018-09-25,3.222,2.459,-0.833,1.667,0.259,3.549
2018-09-26,3.431,2.558,1.250,0.750,1.822,2.815
2018-09-27,3.718,1.944,-2.000,0.255,1.078,2.655
2018-09-28,2.692,3.025,-1.250,1.734,-1.512,2.883
2018-09-29,2.778,1.829,-2.273,0.158,1.869,2.648
2018-09-30,2.647,2.750,1.000,0.172,0.873,3.208
2018-10-01,3.500,3.070,-1.667,0.930,2.202,2.492
2018-10-05,2.447,1.203,-1.667,0.333,0.530,3.125
2018-10-06,2.857,2.241,-1.429,2.027,-3.053,1.805
2018-10-07,1.667,2.568,-1.250,1.667,-1.535,-0.522
2018-10-08,4.000,3.816,0.625,1.303,0.159,0.158
2018-10-09,3.261,1.706,-1.250,0.822,-0.167,1.452
2018-10-10,3.548,1.585,0.625,0.869,0.419,1.496
2018-10-11,4.677,2.619,0.455,0.977,0.178,2.032
2018-10-12,3.511,2.143,0.714,0.843,-0.314,2.406
2018-10-13,3.333,2.333,0.000,1.360,-1.448,1.653
2018-10-14,3.302,0.957,0.882,0.965,0.194,2.070
2018-10-15,4.286,1.750,0.385,1.188,1.100,2.193
2018-10-16,4.100,0.469,-1.429,1.314,0.784,1.786
2018-10-17,4.000,1.933,-1.800,1.114,1.030,1.404
2018-10-18,3.871,2.300,1.842,1.475,0.201,1.305
2018-10-19,3.983,3.000,2.059,1.644,0.469,1.266
2018-10-20,3.696,2.059,-1.250,0.625,-0.996,0.976
2018-10-21,3.750,1.000,1.250,0.938,0.229,1.600
2018-10-22,3.594,1.567,2.895,1.586,-0.037,1.826
2018-10-23,3.974,0.372,1.000,1.858,3.001,0.119
2018-10-24,3.977,2.778,2.222,1.310,2.020,1.471
2018-10-25,3.323,1.145,1.000,0.137,-1.030,2.660
2018-10-26,3.163,1.111,2.419,1.145,0.094,3.110
2018-10-28,4.250,1.957,4.231,1.379,1.291,1.481
2018-10-29,3.734,1.333,3.333,0.885,-0.866,0.629
2018-10-30,2.368,2.353,3.800,1.304,0.100,1.210
2018-10-31,3.824,2.538,4.333,1.841,0.886,1.834
2018-11-01,3.000,1.304,1.667,1.469,1.487,2.845
2018-11-02,4.444,0.249,3.571,0.983,1.260,3.091
2018-11-03,4.286,2.632,2.826,0.595,-1.338,2.497
2018-11-05,4.571,2.778,3.684,0.933,-1.209,2.905
2018-11-06,3.000,2.843,4.000,0.986,1.088,2.770
