Date,HUA_clinecenter,SBUX_clinecenter,TIK_clinecenter,HUA_brandwatch,SBUX_brandwatch,TIK_brandwatch,HUA_clinecenter_21D,HUA_clinecenter_50D,HUA_clinecenter_100D,HUA_clinecenter_200D,SBUX_clinecenter_21D,SBUX_clinecenter_50D,SBUX_clinecenter_100D,SBUX_clinecenter_200D,TIK_clinecenter_21D,TIK_clinecenter_50D,TIK_clinecenter_100D,TIK_clinecenter_200D,HUA_brandwatch_21D,HUA_brandwatch_50D,HUA_brandwatch_100D,HUA_brandwatch_200D,SBUX_brandwatch_21D,SBUX_brandwatch_50D,SBUX_brandwatch_100D,SBUX_brandwatch_200D,TIK_brandwatch_21D,TIK_brandwatch_50D,TIK_brandwatch_100D,TIK_brandwatch_200D
2018-09-23,3.333,2.303,-3.182,1.468,1.012,3.044,3.370,3.533,2.199,0.990,2.240,2.188,2.592,2.502,-0.711,1.374,2.655,1.728,1.090,1.303,0.258,-0.409,0.275,0.493,0.250,-0.051,2.242,2.159,2.437,2.422
2018-09-24,4.459,3.710,-2.647,2.088,1.323,4.129,3.402,3.517,2.155,0.978,2.222,2.179,2.602,2.500,-0.646,1.532,2.700,1.745,1.073,1.321,0.224,-0.420,0.276,0.490,0.246,-0.057,2.164,2.163,2.441,2.413
2018-09-25,3.222,2.459,-0.833,1.667,0.259,3.549,3.374,3.504,2.097,0.960,2.155,2.195,2.606,2.487,-0.432,1.679,2.749,1.763,1.044,1.299,0.173,-0.430,0.222,0.449,0.218,-0.068,2.029,2.138,2.428,2.413
2018-09-26,3.431,2.558,1.250,0.750,1.822,2.815,3.410,3.513,2.062,0.948,2.181,2.225,2.615,2.480,-0.294,1.783,2.784,1.772,1.043,1.288,0.145,-0.438,0.232,0.400,0.207,-0.074,1.920,2.125,2.422,2.417
2018-09-27,3.718,1.944,-2.000,0.255,1.078,2.655,3.423,3.510,2.039,0.932,2.157,2.249,2.619,2.481,-0.413,1.855,2.777,1.763,1.037,1.291,0.130,-0.447,0.098,0.308,0.182,-0.086,1.833,2.126,2.426,2.424
2018-09-28,2.692,3.025,-1.250,1.734,-1.512,2.883,3.424,3.494,2.016,0.914,2.112,2.245,2.635,2.485,-0.258,1.987,2.806,1.770,1.069,1.318,0.104,-0.454,0.058,0.252,0.171,-0.094,1.783,2.139,2.429,2.432
2018-09-29,2.778,1.829,-2.273,0.158,1.869,2.648,3.467,3.474,1.985,0.901,2.043,2.236,2.629,2.475,-0.061,2.103,2.849,1.776,1.062,1.272,0.067,-0.459,0.128,0.286,0.191,-0.082,1.732,2.114,2.429,2.439
2018-09-30,2.647,2.750,1.000,0.172,0.873,3.208,3.524,3.454,1.952,0.888,1.973,2.257,2.627,2.471,0.095,2.235,2.880,1.788,1.143,1.275,0.058,-0.456,0.182,0.238,0.172,-0.088,1.612,2.126,2.426,2.447
2018-10-01,3.500,3.070,-1.667,0.930,2.202,2.492,3.587,3.470,1.929,0.877,1.975,2.258,2.628,2.464,0.153,2.312,2.891,1.786,1.198,1.289,0.047,-0.455,0.236,0.233,0.176,-0.092,1.529,2.128,2.416,2.451
2018-10-05,2.447,1.203,-1.667,0.333,0.530,3.125,3.579,3.487,1.887,0.850,1.883,2.255,2.632,2.459,0.280,2.421,2.913,1.803,1.160,1.305,0.029,-0.468,0.082,0.218,0.162,-0.091,1.537,2.140,2.424,2.449
2018-10-06,2.857,2.241,-1.429,2.027,-3.053,1.805,3.613,3.515,1.853,0.833,1.879,2.277,2.643,2.459,0.475,2.526,2.933,1.813,1.198,1.326,0.010,-0.474,0.062,0.219,0.146,-0.081,1.536,2.166,2.410,2.435
2018-10-07,1.667,2.568,-1.250,1.667,-1.535,-0.522,3.679,3.517,1.816,0.831,1.865,2.270,2.644,2.467,0.744,2.644,2.950,1.828,1.167,1.298,-0.025,-0.485,0.269,0.301,0.165,-0.062,1.521,2.206,2.409,2.434
2018-10-08,4.000,3.816,0.625,1.303,0.159,0.158,3.778,3.469,1.776,0.830,1.806,2.283,2.635,2.466,0.962,2.720,2.988,1.847,1.130,1.208,-0.080,-0.491,0.301,0.357,0.182,-0.052,1.576,2.288,2.444,2.436
2018-10-09,3.261,1.706,-1.250,0.822,-0.167,1.452,3.700,3.352,1.712,0.818,1.737,2.275,2.614,2.454,1.113,2.802,3.007,1.848,1.130,1.113,-0.132,-0.495,0.298,0.378,0.181,-0.041,1.626,2.360,2.471,2.439
2018-10-10,3.548,1.585,0.625,0.869,0.419,1.496,3.727,3.266,1.660,0.808,1.776,2.289,2.619,2.454,1.379,2.920,3.027,1.850,1.179,1.037,-0.179,-0.493,0.348,0.381,0.161,-0.039,1.644,2.378,2.482,2.456
2018-10-11,4.677,2.619,0.455,0.977,0.178,2.032,3.701,3.175,1.605,0.785,1.763,2.270,2.625,2.458,1.429,2.996,3.028,1.857,1.207,0.959,-0.226,-0.499,0.399,0.381,0.135,-0.045,1.708,2.411,2.492,2.472
2018-10-12,3.511,2.143,0.714,0.843,-0.314,2.406,3.690,3.040,1.562,0.772,1.650,2.234,2.626,2.452,1.577,3.051,3.030,1.870,1.208,0.890,-0.261,-0.495,0.450,0.388,0.100,-0.049,1.759,2.418,2.500,2.485
2018-10-13,3.333,2.333,0.000,1.360,-1.448,1.653,3.727,2.946,1.529,0.760,1.673,2.240,2.632,2.452,1.678,3.120,3.029,1.866,1.196,0.818,-0.295,-0.495,0.401,0.423,0.070,-0.042,1.763,2.397,2.504,2.488
